ID,YR,PD,QTR,CATG_CD,PLAN_TO_NM,SALES_ORG,SALES_RPTG_CHNL_NM,SALES_RPTG_SUBCHNL_NM,SALES_RPTG_RETL_ENV_NM,VOL_NKG_QTY,GSV,NSV,COGS_DIR_CHRG_VAL,GROSS_PRFT_VAL,NSV_USD,GROSS_PRFT_VAL_USD,USD_RATE,SALES_REF_KEY
1,2022,P01,Q1,BAKERY,COSTCO_WHOLESALE,EUROPE,E-COMMERCE,ONLINE_MARKETPLACE,URBAN,42079.0,549581.0,400632.0,220348.0,180284.0,378157.0,170170.0,0.9439,2022_P01_BAKERY_COSTCO_WHOLESALE_EUROPE_E-COMMERCE_ONLINE_MARKETPLACE_URBAN
2,2022,P01,Q1,FROZEN,LIDL_STIFTUNG,EUROPE,CONVENIENCE,AIRPORT_RETAIL,RURAL,20987.0,209889.0,174267.0,108046.0,66221.0,175417.0,66658.0,1.0066,2022_P01_FROZEN_LIDL_STIFTUNG_EUROPE_CONVENIENCE_AIRPORT_RETAIL_RURAL
3,2022,P01,Q1,BAKERY,CARREFOUR_SA,MIDDLE_EAST_AFRICA,E-COMMERCE,DIRECT_TO_CONSUMER,PREMIUM,32765.0,196320.0,176048.0,96826.0,79222.0,189692.0,85362.0,1.0775,2022_P01_BAKERY_CARREFOUR_SA_MIDDLE_EAST_AFRICA_E-COMMERCE_DIRECT_TO_CONSUMER_PREMIUM
4,2022,P01,Q1,BAKERY,TESCO_PLC,ASIA_PACIFIC,E-COMMERCE,MOBILE_APP,SUBURBAN,40203.0,436788.0,321021.0,176562.0,144459.0,301246.0,135560.0,0.9384,2022_P01_BAKERY_TESCO_PLC_ASIA_PACIFIC_E-COMMERCE_MOBILE_APP_SUBURBAN
5,2022,P01,Q1,BAKERY,KROGER_CO,NORTH_AMERICA,RETAIL,SUPERMARKETS,VALUE,29014.0,340623.0,286835.0,157759.0,129076.0,304389.0,136975.0,1.0612,2022_P01_BAKERY_KROGER_CO_NORTH_AMERICA_RETAIL_SUPERMARKETS_VALUE
6,2022,P01,Q1,BEVERAGES,FAMILY_MART,LATIN_AMERICA,RETAIL,DISCOUNT_STORES,URBAN,44926.0,515743.0,464046.0,269147.0,194899.0,466088.0,195757.0,1.0044,2022_P01_BEVERAGES_FAMILY_MART_LATIN_AMERICA_RETAIL_DISCOUNT_STORES_URBAN
7,2022,P01,Q1,BAKERY,TARGET_CORP,LATIN_AMERICA,E-COMMERCE,ONLINE_MARKETPLACE,PREMIUM,48689.0,430883.0,374887.0,206188.0,168699.0,393594.0,177117.0,1.0499,2022_P01_BAKERY_TARGET_CORP_LATIN_AMERICA_E-COMMERCE_ONLINE_MARKETPLACE_PREMIUM
8,2022,P01,Q1,FROZEN,AMAZON_RETAIL,MIDDLE_EAST_AFRICA,WHOLESALE,CASH_CARRY,VALUE,34456.0,293576.0,243577.0,151018.0,92559.0,233128.0,88588.0,0.9571,2022_P01_FROZEN_AMAZON_RETAIL_MIDDLE_EAST_AFRICA_WHOLESALE_CASH_CARRY_VALUE
9,2022,P01,Q1,BEVERAGES,WOOLWORTHS_GROUP,ASIA_PACIFIC,E-COMMERCE,DIRECT_TO_CONSUMER,VALUE,50924.0,679234.0,568643.0,329813.0,238830.0,533785.0,224190.0,0.9387,2022_P01_BEVERAGES_WOOLWORTHS_GROUP_ASIA_PACIFIC_E-COMMERCE_DIRECT_TO_CONSUMER_VALUE
10,2022,P01,Q1,BAKERY,KROGER_CO,LATIN_AMERICA,WHOLESALE,DISTRIBUTORS,PREMIUM,35728.0,183065.0,136847.0,75266.0,61581.0,145633.0,65535.0,1.0642,2022_P01_BAKERY_KROGER_CO_LATIN_AMERICA_WHOLESALE_DISTRIBUTORS_PREMIUM
11,2022,P01,Q1,BEVERAGES,CARREFOUR_SA,EUROPE,WHOLESALE,DISTRIBUTORS,SUBURBAN,49548.0,241504.0,200120.0,116070.0,84050.0,184411.0,77452.0,0.9215,2022_P01_BEVERAGES_CARREFOUR_SA_EUROPE_WHOLESALE_DISTRIBUTORS_SUBURBAN
12,2022,P01,Q1,SNACKS,METRO_AG,LATIN_AMERICA,RETAIL,HYPERMARKETS,VALUE,53021.0,775745.0,595337.0,309575.0,285762.0,601290.0,288620.0,1.01,2022_P01_SNACKS_METRO_AG_LATIN_AMERICA_RETAIL_HYPERMARKETS_VALUE
13,2022,P01,Q1,CONFECTIONERY,KROGER_CO,ASIA_PACIFIC,CONVENIENCE,AIRPORT_RETAIL,SUBURBAN,27093.0,238127.0,194542.0,93380.0,101162.0,206545.0,107404.0,1.0617,2022_P01_CONFECTIONERY_KROGER_CO_ASIA_PACIFIC_CONVENIENCE_AIRPORT_RETAIL_SUBURBAN
14,2022,P01,Q1,FROZEN,LIDL_STIFTUNG,ASIA_PACIFIC,RETAIL,DISCOUNT_STORES,URBAN,38987.0,214726.0,165537.0,102633.0,62904.0,155787.0,59199.0,0.9411,2022_P01_FROZEN_LIDL_STIFTUNG_ASIA_PACIFIC_RETAIL_DISCOUNT_STORES_URBAN
15,2022,P02,Q1,BAKERY,LIDL_STIFTUNG,LATIN_AMERICA,FOODSERVICE,CAFES,RURAL,21457.0,126048.0,95312.0,52422.0,42890.0,91414.0,41136.0,0.9591,2022_P02_BAKERY_LIDL_STIFTUNG_LATIN_AMERICA_FOODSERVICE_CAFES_RURAL
16,2022,P02,Q1,BEVERAGES,WALMART_INC,MIDDLE_EAST_AFRICA,RETAIL,HYPERMARKETS,PREMIUM,25257.0,372605.0,275760.0,159941.0,115819.0,299255.0,125687.0,1.0852,2022_P02_BEVERAGES_WALMART_INC_MIDDLE_EAST_AFRICA_RETAIL_HYPERMARKETS_PREMIUM
17,2022,P02,Q1,CONFECTIONERY,LIDL_STIFTUNG,LATIN_AMERICA,WHOLESALE,BULK_SALES,PREMIUM,32899.0,152188.0,131359.0,63052.0,68307.0,142892.0,74304.0,1.0878,2022_P02_CONFECTIONERY_LIDL_STIFTUNG_LATIN_AMERICA_WHOLESALE_BULK_SALES_PREMIUM
18,2022,P02,Q1,BEVERAGES,METRO_AG,EUROPE,CONVENIENCE,VENDING,SUBURBAN,37596.0,467349.0,408041.0,236664.0,171377.0,421874.0,177187.0,1.0339,2022_P02_BEVERAGES_METRO_AG_EUROPE_CONVENIENCE_VENDING_SUBURBAN
19,2022,P02,Q1,BAKERY,TESCO_PLC,MIDDLE_EAST_AFRICA,CONVENIENCE,AIRPORT_RETAIL,RURAL,49087.0,662726.0,517556.0,284656.0,232900.0,500063.0,225028.0,0.9662,2022_P02_BAKERY_TESCO_PLC_MIDDLE_EAST_AFRICA_CONVENIENCE_AIRPORT_RETAIL_RURAL
20,2022,P02,Q1,FROZEN,LIDL_STIFTUNG,NORTH_AMERICA,WHOLESALE,CASH_CARRY,URBAN,49125.0,777644.0,671361.0,416244.0,255117.0,700699.0,266266.0,1.0437,2022_P02_FROZEN_LIDL_STIFTUNG_NORTH_AMERICA_WHOLESALE_CASH_CARRY_URBAN
21,2022,P02,Q1,BAKERY,LAWSON_INC,LATIN_AMERICA,FOODSERVICE,HOTELS,SUBURBAN,22558.0,318988.0,263506.0,144928.0,118578.0,288987.0,130044.0,1.0967,2022_P02_BAKERY_LAWSON_INC_LATIN_AMERICA_FOODSERVICE_HOTELS_SUBURBAN
